id,start_date,end_date,transfer_fee,salary,release_clause
"919469_None",,None,0,None,None
"919469_None",,None,93000,None,None
"919469_None",,None,0,None,None
"919469_None",,None,0,None,None
"919469_None",,None,0,None,None
"919469_None",,None,0,None,None
"1954173_None",,None,,None,None
"1140833_None",,None,0,None,None
"1140833_None",,None,0,None,None
"1140833_None",,None,0,None,None
"1140833_None",,None,0,None,None
"2203635_None",,None,0,None,None
"2203635_None",,None,0,None,None
"2203635_None",,None,0,None,None
"1102957_None",,None,138000,None,None
"1102957_None",,None,0,None,None
"1102957_None",,None,0,None,None
"1155596_None",,None,0,None,None
"1182584_None",,None,0,None,None
"1182584_None",,None,67000,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,1500000,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"845274_None",,None,3500000,None,None
"845274_None",,None,0,None,None
"845274_None",,None,0,None,None
"1170317_None",,None,0,None,None
"1170317_None",,None,0,None,None
"1170317_None",,None,0,None,None
"1170317_None",,None,73000,None,None
"978956_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"366156_None",,None,0,None,None
"1114480_None",,None,0,None,None
"297510_None",,None,0,None,None
"297510_None",,None,0,None,None
"297510_None",,None,,None,None
"297510_None",,None,0,None,None
"297510_None",,None,0,None,None
"297510_None",,None,,None,None
"297510_None",,None,0,None,None
"297510_None",,None,0,None,None
"297510_None",,None,0,None,None
"297510_None",,None,0,None,None
"297510_None",,None,0,None,None
"919532_None",,None,450000,None,None
"919532_None",,None,191000,None,None
"919532_None",,None,0,None,None
"919532_None",,None,0,None,None
