tm_id,tm_name,sofascore_id,sofascore_name,match_score
375635,Reda Bounaga,953991.0,Reda Bounaga,1.0
1092073,Chemseddine Knaidil,1433799.0,Chams Eddine Knaidil,0.92
643992,Imrane Fiddi,977069.0,Imran Fiddi,0.96
536874,Amine Dghoughi,919951.0,Amine Dghoughi,1.0
850874,Cruz Ndong Bitheghe,2033781.0,Cruz Ndong Biteghe,0.97
520441,Oussama Daoui,1525316.0,Oussama Daoui,1.0
712124,Youssef Limouri,1009758.0,Youssef Limouri,1.0
238963,Yassine Jbira,359282.0,Yassine Jbira,1.0
1097549,Mohamed Gharmal,1919308.0,Mohamed Gharmal ,1.0
366783,Aymane Majid,919469.0,Aymane Majid,1.0
556868,Aissa Sioudi,919632.0,Aissa Sioudi,1.0
617083,Zacarías Ghailán,997038.0,Zacarias Ghailan,1.0
855878,James Ajako,1525306.0,James Ajako,1.0
926537,Aymane El Aouani,1140911.0,Aymane El Aouani,1.0
790406,Zakaria Bahrou,1140894.0,Zakaria Bahrou,1.0
1406018,Ismail Zeroual,,,0.74
1263222,Yazid Faffa,,,0.55
837173,Abdellah Farah,1095721.0,Abdellah Farah,1.0
234900,Mehdi El Jourbaoui,1004249.0,Mehdi El Jourbaoui,1.0
1428468,Mohammed Maid,1140872.0,Mohamed Moufid,0.81
822539,Ayoub Tine,1546502.0,Ayoub Tine,1.0
731876,Montassir Lahtimi,1013427.0,Mountassir Lahtimi,0.97
1264456,Amine Balich,2268627.0,Amine Balich,1.0
365362,Mohammad El Fakih,919342.0,Mohammad El Fakih,1.0
1210076,Marouane Oujeddou,1994372.0,Marouane Oujeddou,1.0
1076082,Anass El Ghannouj,1525294.0,Anass El Ghannouj,1.0
558706,Zouheir El Hachemi,919768.0,Zouheir El Hachemi,1.0
1274616,Ishak Zidani,1957278.0,Ishak Zidani,1.0
858917,Abdessamad Badaoui,1140818.0,Abdessamad Badaoui,1.0
800365,Reda Lakhmidi,1140829.0,Reda Lakhmidi,1.0
897600,Abdelaziz El Hamzaoui,1525284.0,Abdelaziz El Hamzaoui,1.0
1033958,Zakaria Fatihi,1407530.0,Zakaria Fatihi,1.0
549322,Ayoub Joulale,919462.0,Ayoub Joulale,1.0
